region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,3,Local Reactive,1042,1,6.0,0.5,0.9954022988505747,639,-481.9921875
california,3,Local Reactive,1042,2,22.0,0.16666666666666666,1.0,770,-621.2109375
california,3,Local Reactive,1042,3,16.0,0.5,1.0,562,-455.810546875
california,3,Local Reactive,1042,4,28.0,0.16666666666666666,0.9977011494252873,735,-496.904296875
california,3,Local Reactive,1042,5,16.0,0.5,0.9954022988505747,658,-488.671875
california,3,Local Reactive,1042,6,16.0,0.5,0.9954022988505747,483,-317.8515625
california,3,Local Reactive,1042,7,9.0,0.6666666666666666,1.0,375,-289.384765625
california,3,Local Reactive,1042,8,34.0,0.0,1.0,793,-309.58984375
california,3,Local Reactive,1042,9,28.0,0.16666666666666666,0.9977011494252873,756,-568.046875
california,3,Local Reactive,1042,10,12.0,0.5,1.0,673,-451.767578125
california,3,Local Reactive,1042,11,10.0,0.6666666666666666,1.0,521,-350.009765625
california,3,Local Reactive,1042,12,10.0,0.5,1.0,541,-358.583984375
california,3,Local Reactive,1042,13,28.0,0.16666666666666666,0.9816091954022989,717,-599.560546875
california,3,Local Reactive,1042,14,-2.0,0.8333333333333334,1.0,411,-268.984375
california,3,Local Reactive,2042,0,28.0,0.16666666666666666,0.9908045977011494,631,-478.41796875
california,3,Local Reactive,2042,1,34.0,0.0,0.9781420765027322,792,-479.326171875
california,3,Local Reactive,2042,2,28.0,0.16666666666666666,0.9925925925925926,790,-526.376953125
california,3,Local Reactive,2042,3,28.0,0.16666666666666666,0.9954022988505747,737,-522.578125
california,3,Local Reactive,2042,4,-4.0,0.6666666666666666,1.0,557,-365.244140625
california,3,Local Reactive,2042,5,19.0,0.5,1.0,520,-337.705078125
california,3,Local Reactive,2042,6,6.0,0.6666666666666666,0.993103448275862,392,-306.943359375
california,3,Local Reactive,2042,7,16.0,0.3333333333333333,0.9839080459770115,757,-607.687890625
california,3,Local Reactive,2042,8,28.0,0.16666666666666666,1.0,608,-512.431640625
california,3,Local Reactive,2042,9,28.0,0.16666666666666666,0.9908045977011494,768,-525.97890625
california,3,Local Reactive,2042,10,1.0,0.8333333333333334,0.9908045977011494,500,-340.04140625
california,3,Local Reactive,2042,11,10.0,0.6666666666666666,1.0,510,-272.01171875
california,3,Local Reactive,2042,12,16.0,0.5,0.9977011494252873,568,-455.361328125
california,3,Local Reactive,2042,13,28.0,0.16666666666666666,1.0,790,-394.072265625
california,3,Local Reactive,2042,14,34.0,0.0,0.9925373134328358,786,-504.289453125
california,3,Local Reactive,3042,0,9.0,0.6666666666666666,1.0,444,-396.826171875
california,3,Local Reactive,3042,1,-6.0,1.0,0.9908045977011494,351,-222.97109375
california,3,Local Reactive,3042,2,34.0,0.0,1.0,766,-681.513671875
california,3,Local Reactive,3042,3,10.0,0.6666666666666666,1.0,497,-326.630859375
california,3,Local Reactive,3042,4,28.0,0.16666666666666666,0.9965635738831615,794,-356.2109375
california,3,Local Reactive,3042,5,16.0,0.5,0.9862068965517241,679,-497.336328125
california,3,Local Reactive,3042,6,-6.0,1.0,1.0,263,-121.943359375
california,3,Local Reactive,3042,7,3.0,0.8333333333333334,0.993103448275862,335,-220.732421875
california,3,Local Reactive,3042,8,-10.0,0.8333333333333334,0.9885057471264368,447,-238.9671875
california,3,Local Reactive,3042,9,0.0,0.8333333333333334,0.9977011494252873,558,-438.310546875
california,3,Local Reactive,3042,10,16.0,0.5,0.993103448275862,593,-445.95703125
california,3,Local Reactive,3042,11,28.0,0.16666666666666666,0.9954022988505747,758,-582.32421875
california,3,Local Reactive,3042,12,34.0,0.0,0.993993993993994,795,-447.177734375
california,3,Local Reactive,3042,13,10.0,0.6666666666666666,0.9908045977011494,570,-381.71875
california,3,Local Reactive,3042,14,10.0,0.6666666666666666,0.9977011494252873,443,-252.626953125
california,3,Local Reactive,4042,0,3.0,0.8333333333333334,1.0,367,-236.572265625
california,3,Local Reactive,4042,1,16.0,0.5,0.9954022988505747,463,-347.79296875
california,3,Local Reactive,4042,2,-3.0,1.0,0.993103448275862,288,-149.267578125
california,3,Local Reactive,4042,3,16.0,0.5,0.9954022988505747,607,-416.083984375
california,3,Local Reactive,4042,4,16.0,0.5,0.9977011494252873,598,-435.498046875
california,3,Local Reactive,4042,5,28.0,0.16666666666666666,1.0,784,-368.14453125
california,3,Local Reactive,4042,6,16.0,0.5,0.9977011494252873,517,-337.236328125
california,3,Local Reactive,4042,7,28.0,0.16666666666666666,0.9579288025889967,791,-424.21875
california,3,Local Reactive,4042,8,-2.0,0.8333333333333334,1.0,462,-337.5
california,3,Local Reactive,4042,9,16.0,0.3333333333333333,0.9954022988505747,763,-520.869140625
california,3,Local Reactive,4042,10,-3.0,0.8333333333333334,0.9954022988505747,382,-246.535546875
california,3,Local Reactive,4042,11,28.0,0.16666666666666666,1.0,764,-432.6171875
california,3,Local Reactive,4042,12,16.0,0.5,1.0,559,-383.2421875
california,3,Local Reactive,4042,13,19.0,0.5,0.9954022988505747,526,-389.921875
california,3,Local Reactive,4042,14,22.0,0.3333333333333333,1.0,598,-411.103515625
california,3,CommNet (matched),42,0,28.0,0.16666666666666666,0.46405228758169936,812,-412.662890625
california,3,CommNet (matched),42,1,10.0,0.6666666666666666,0.767816091954023,513,-271.3890625
california,3,CommNet (matched),42,2,22.0,0.3333333333333333,0.42528735632183906,614,-401.9015625
california,3,CommNet (matched),42,3,6.0,0.6666666666666666,0.42528735632183906,453,-291.989453125
california,3,CommNet (matched),42,4,4.0,0.6666666666666666,0.6850574712643678,579,-360.1578125
california,3,CommNet (matched),42,5,28.0,0.16666666666666666,0.5198135198135199,807,-588.5511718749999
california,3,CommNet (matched),42,6,28.0,0.16666666666666666,0.5076923076923077,808,-567.648046875
california,3,CommNet (matched),42,7,28.0,0.16666666666666666,0.7164750957854407,807,-346.029296875
california,3,CommNet (matched),42,8,16.0,0.5,0.42528735632183906,520,-333.3078125
california,3,CommNet (matched),42,9,28.0,0.16666666666666666,0.7139303482587065,802,-550.065234375
california,3,CommNet (matched),42,10,3.0,0.8333333333333334,0.42528735632183906,393,-248.1515625
california,3,CommNet (matched),42,11,16.0,0.5,0.42528735632183906,518,-322.78046875
california,3,CommNet (matched),42,12,22.0,0.16666666666666666,0.6963696369636964,822,-432.72187499999995
california,3,CommNet (matched),42,13,6.0,0.6666666666666666,0.42528735632183906,440,-288.13203125
california,3,CommNet (matched),42,14,16.0,0.5,0.6827586206896552,579,-346.85390624999997
california,3,CommNet (matched),1042,0,16.0,0.5,0.42528735632183906,519,-335.7296875
california,3,CommNet (matched),1042,1,28.0,0.16666666666666666,0.7770114942528735,737,-528.857421875
california,3,CommNet (matched),1042,2,28.0,0.16666666666666666,0.48314606741573035,814,-332.458203125
california,3,CommNet (matched),1042,3,28.0,0.16666666666666666,0.9701149425287356,706,-533.0078125
california,3,CommNet (matched),1042,4,28.0,0.16666666666666666,0.4292565947242206,808,-553.833984375
california,3,CommNet (matched),1042,5,28.0,0.16666666666666666,0.6873563218390805,774,-546.7375000000001
california,3,CommNet (matched),1042,6,16.0,0.5,0.9402298850574713,504,-311.25
california,3,CommNet (matched),1042,7,6.0,0.6666666666666666,0.42528735632183906,449,-292.565625
california,3,CommNet (matched),1042,8,34.0,0.0,0.5208333333333334,812,-371.444140625
california,3,CommNet (matched),1042,9,28.0,0.16666666666666666,0.5111111111111111,806,-573.087109375
california,3,CommNet (matched),1042,10,28.0,0.16666666666666666,0.9954022988505747,740,-483.7109375
california,3,CommNet (matched),1042,11,16.0,0.5,0.42528735632183906,618,-385.607421875
california,3,CommNet (matched),1042,12,16.0,0.5,0.42528735632183906,618,-385.587890625
california,3,CommNet (matched),1042,13,22.0,0.16666666666666666,0.7916666666666666,814,-646.418359375
california,3,CommNet (matched),1042,14,10.0,0.6666666666666666,0.7655172413793103,484,-279.951171875
california,3,CommNet (matched),2042,0,22.0,0.3333333333333333,0.7011494252873564,708,-531.74765625
california,3,CommNet (matched),2042,1,28.0,0.16666666666666666,0.7404371584699454,813,-513.664453125
california,3,CommNet (matched),2042,2,34.0,0.0,0.7703703703703704,807,-579.113671875
california,3,CommNet (matched),2042,3,28.0,0.16666666666666666,0.5264367816091954,808,-571.50546875
california,3,CommNet (matched),2042,4,22.0,0.3333333333333333,0.42528735632183906,632,-398.30664062499994
california,3,CommNet (matched),2042,5,10.0,0.6666666666666666,0.42528735632183906,604,-370.705078125
california,3,CommNet (matched),2042,6,6.0,0.6666666666666666,0.42528735632183906,487,-312.58515625
california,3,CommNet (matched),2042,7,28.0,0.16666666666666666,0.5111111111111111,806,-573.07734375
california,3,CommNet (matched),2042,8,28.0,0.16666666666666666,0.6873563218390805,711,-556.100390625
california,3,CommNet (matched),2042,9,28.0,0.16666666666666666,0.9977011494252873,783,-545.439453125
california,3,CommNet (matched),2042,10,10.0,0.6666666666666666,0.6850574712643678,581,-357.25703124999995
california,3,CommNet (matched),2042,11,10.0,0.6666666666666666,0.767816091954023,552,-280.37929687499997
california,3,CommNet (matched),2042,12,28.0,0.16666666666666666,0.7425287356321839,739,-565.37109375
california,3,CommNet (matched),2042,13,28.0,0.16666666666666666,0.4627831715210356,812,-420.553515625
california,3,CommNet (matched),2042,14,28.0,0.16666666666666666,0.7114427860696517,800,-554.0011718750001
california,3,CommNet (matched),3042,0,22.0,0.3333333333333333,0.6873563218390805,604,-444.85078125
california,3,CommNet (matched),3042,1,0.0,0.8333333333333334,0.9908045977011494,408,-230.576171875
california,3,CommNet (matched),3042,2,28.0,0.16666666666666666,0.5824561403508772,807,-378.87109375
california,3,CommNet (matched),3042,3,16.0,0.5,0.6183908045977011,578,-345.36953124999997
california,3,CommNet (matched),3042,4,28.0,0.16666666666666666,0.47079037800687284,814,-378.28828125
california,3,CommNet (matched),3042,5,16.0,0.3333333333333333,0.5310344827586206,745,-547.6175781249999
california,3,CommNet (matched),3042,6,-3.0,1.0,0.7724137931034483,293,-130.25390625
