region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,heldout_ignition,Value-First Heuristic,3042,3,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,3042,4,28.0,0.16666666666666666,0.9862068965517241,740,-538.212890625
california,heldout_ignition,Value-First Heuristic,3042,5,34.0,0.0,0.9964912280701754,824,-391.708984375
california,heldout_ignition,Value-First Heuristic,3042,6,16.0,0.5,0.993103448275862,574,-277.48046875
california,heldout_ignition,Value-First Heuristic,3042,7,12.0,0.5,0.9908045977011494,497,-324.21875
california,heldout_ignition,Value-First Heuristic,3042,8,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,3042,9,28.0,0.16666666666666666,0.9862068965517241,740,-538.212890625
california,heldout_ignition,Value-First Heuristic,3042,10,34.0,0.0,0.9964912280701754,824,-391.73828125
california,heldout_ignition,Value-First Heuristic,3042,11,16.0,0.5,0.993103448275862,574,-277.48046875
california,heldout_ignition,Value-First Heuristic,3042,12,12.0,0.5,0.9908045977011494,497,-324.228515625
california,heldout_ignition,Value-First Heuristic,3042,13,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,3042,14,28.0,0.16666666666666666,0.9862068965517241,740,-538.193359375
california,heldout_ignition,Value-First Heuristic,4042,0,34.0,0.0,0.9964912280701754,824,-391.71875
california,heldout_ignition,Value-First Heuristic,4042,1,16.0,0.5,0.993103448275862,574,-277.451171875
california,heldout_ignition,Value-First Heuristic,4042,2,12.0,0.5,0.9908045977011494,497,-324.21875
california,heldout_ignition,Value-First Heuristic,4042,3,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,4042,4,28.0,0.16666666666666666,0.9862068965517241,740,-538.193359375
california,heldout_ignition,Value-First Heuristic,4042,5,34.0,0.0,0.9964912280701754,824,-391.73828125
california,heldout_ignition,Value-First Heuristic,4042,6,16.0,0.5,0.993103448275862,574,-277.4609375
california,heldout_ignition,Value-First Heuristic,4042,7,12.0,0.5,0.9908045977011494,497,-324.23828125
california,heldout_ignition,Value-First Heuristic,4042,8,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,4042,9,28.0,0.16666666666666666,0.9862068965517241,740,-538.193359375
california,heldout_ignition,Value-First Heuristic,4042,10,34.0,0.0,0.9964912280701754,824,-391.708984375
california,heldout_ignition,Value-First Heuristic,4042,11,16.0,0.5,0.993103448275862,574,-277.470703125
california,heldout_ignition,Value-First Heuristic,4042,12,12.0,0.5,0.9908045977011494,497,-324.208984375
california,heldout_ignition,Value-First Heuristic,4042,13,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,4042,14,28.0,0.16666666666666666,0.9862068965517241,740,-538.173828125
california,heldout_ignition,Local Reactive,42,0,16.0,0.3333333333333333,0.9964912280701754,773,-358.61328125
california,heldout_ignition,Local Reactive,42,1,10.0,0.8333333333333334,1.0,464,-257.197265625
california,heldout_ignition,Local Reactive,42,2,6.0,0.6666666666666666,1.0,327,-274.462890625
california,heldout_ignition,Local Reactive,42,3,-12.0,1.0,0.9862068965517241,244,-108.06640625
california,heldout_ignition,Local Reactive,42,4,22.0,0.3333333333333333,1.0,613,-475.869140625
california,heldout_ignition,Local Reactive,42,5,28.0,0.16666666666666666,0.9964912280701754,780,-362.75390625
california,heldout_ignition,Local Reactive,42,6,10.0,0.6666666666666666,0.9908045977011494,556,-276.83828125
california,heldout_ignition,Local Reactive,42,7,9.0,0.6666666666666666,0.9954022988505747,423,-298.427734375
california,heldout_ignition,Local Reactive,42,8,0.0,1.0,0.9954022988505747,239,-107.67578125
california,heldout_ignition,Local Reactive,42,9,16.0,0.5,0.9977011494252873,542,-421.650390625
california,heldout_ignition,Local Reactive,42,10,28.0,0.16666666666666666,0.9929824561403509,791,-369.2578125
california,heldout_ignition,Local Reactive,42,11,10.0,0.6666666666666666,0.9954022988505747,539,-274.228515625
california,heldout_ignition,Local Reactive,42,12,9.0,0.6666666666666666,1.0,411,-303.26171875
california,heldout_ignition,Local Reactive,42,13,-12.0,1.0,0.9770114942528736,211,-102.58515625
california,heldout_ignition,Local Reactive,42,14,22.0,0.3333333333333333,1.0,653,-489.58984375
california,heldout_ignition,Local Reactive,1042,0,28.0,0.16666666666666666,0.9894736842105263,791,-367.94921875
california,heldout_ignition,Local Reactive,1042,1,4.0,0.8333333333333334,0.9862068965517241,496,-266.240234375
