WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,region,condition
14.0,0.7142857142857143,0.4345991561181435,111,-22.214285714285708,local_reactive,saudi,,1042,9,saudi,standard
13.0,0.7142857142857143,0.5089605734767025,59,-20.61428571428571,local_reactive,saudi,,1042,10,saudi,standard
4.0,0.8571428571428571,0.5324675324675324,77,-8.457142857142859,local_reactive,saudi,,1042,11,saudi,standard
23.0,0.4285714285714285,0.4523809523809524,199,-37.52857142857147,local_reactive,saudi,,1042,12,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,1042,13,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,1042,14,saudi,standard
19.0,0.5714285714285714,0.3825503355704698,99,-32.67142857142857,local_reactive,saudi,,2042,0,saudi,standard
9.0,0.7142857142857143,0.4809523809523809,56,-17.314285714285706,local_reactive,saudi,,2042,1,saudi,standard
19.0,0.5714285714285714,0.3841059602649007,110,-30.57142857142856,local_reactive,saudi,,2042,2,saudi,standard
19.0,0.5714285714285714,0.5748792270531401,96,-29.871428571428574,local_reactive,saudi,,2042,3,saudi,standard
0.0,1.0,0.9444444444444444,0,0.0,local_reactive,saudi,,2042,4,saudi,standard
14.0,0.7142857142857143,0.4059139784946236,201,-24.0142857142857,local_reactive,saudi,,2042,5,saudi,standard
14.0,0.7142857142857143,0.4313725490196078,219,-22.614285714285703,local_reactive,saudi,,2042,6,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,2042,7,saudi,standard
9.0,0.7142857142857143,0.44,59,-17.814285714285706,local_reactive,saudi,,2042,8,saudi,standard
14.0,0.7142857142857143,0.3968253968253968,239,-22.914285714285707,local_reactive,saudi,,2042,9,saudi,standard
9.0,0.7142857142857143,0.3988095238095238,66,-17.214285714285708,local_reactive,saudi,,2042,10,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,2042,11,saudi,standard
4.0,0.8571428571428571,0.7037037037037037,113,-8.457142857142854,local_reactive,saudi,,2042,12,saudi,standard
20.0,0.5714285714285714,0.3916666666666666,168,-33.27142857142858,local_reactive,saudi,,2042,13,saudi,standard
13.0,0.7142857142857143,0.639344262295082,75,-19.81428571428571,local_reactive,saudi,,2042,14,saudi,standard
14.0,0.7142857142857143,0.4292237442922374,109,-21.91428571428571,local_reactive,saudi,,3042,0,saudi,standard
0.0,1.0,0.6073059360730594,52,-1.499999999999999,local_reactive,saudi,,3042,1,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,3042,2,saudi,standard
16.0,0.7142857142857143,0.4842767295597484,75,-24.114285714285707,local_reactive,saudi,,3042,3,saudi,standard
14.0,0.7142857142857143,0.592156862745098,105,-22.51428571428572,local_reactive,saudi,,3042,4,saudi,standard
20.0,0.5714285714285714,0.3926553672316384,166,-33.27142857142858,local_reactive,saudi,,3042,5,saudi,standard
14.0,0.7142857142857143,0.5607843137254902,95,-21.51428571428572,local_reactive,saudi,,3042,6,saudi,standard
9.0,0.7142857142857143,0.5192307692307693,46,-16.51428571428571,local_reactive,saudi,,3042,7,saudi,standard
17.0,0.5714285714285714,0.3977011494252873,211,-31.471428571428557,local_reactive,saudi,,3042,8,saudi,standard
23.0,0.4285714285714285,0.4407407407407407,195,-37.928571428571466,local_reactive,saudi,,3042,9,saudi,standard
4.0,0.8571428571428571,0.78125,83,-8.057142857142857,local_reactive,saudi,,3042,10,saudi,standard
19.0,0.5714285714285714,0.6025641025641025,76,-29.57142857142857,local_reactive,saudi,,3042,11,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,3042,12,saudi,standard
14.0,0.7142857142857143,0.4356060606060606,206,-22.814285714285703,local_reactive,saudi,,3042,13,saudi,standard
4.0,0.8571428571428571,0.3824561403508772,136,-10.057142857142852,local_reactive,saudi,,3042,14,saudi,standard
16.0,0.7142857142857143,0.4712643678160919,79,-23.714285714285708,local_reactive,saudi,,4042,0,saudi,standard
0.0,1.0,0.5657894736842105,63,-1.6999999999999968,local_reactive,saudi,,4042,1,saudi,standard
23.0,0.4285714285714285,0.4568965517241379,149,-36.928571428571445,local_reactive,saudi,,4042,2,saudi,standard
19.0,0.5714285714285714,0.3977591036414565,83,-29.971428571428564,local_reactive,saudi,,4042,3,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,4042,4,saudi,standard
13.0,0.7142857142857143,0.5487179487179488,69,-20.01428571428571,local_reactive,saudi,,4042,5,saudi,standard
16.0,0.7142857142857143,0.5261044176706827,80,-23.31428571428571,local_reactive,saudi,,4042,6,saudi,standard
